Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
295,KC8MSE,146.920000,-,0.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KC8MSE near Fremont, Newaygo County, Michigan OPEN",,,,
296,K8DAA,146.500000,+,1.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8DAA near Holland, Ottawa County, Michigan OPEN",,,,
297,K8DAA,147.060000,+,0.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8DAA near Holland, Ottawa County, Michigan OPEN",,,,
298,K8DAA,443.825000,+,5.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8DAA near Holland, Ottawa County, Michigan OPEN",,,,
299,Hospital,443.887500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,12.50,,50W,"K8DAA near Holland, Ottawa County, Michigan OPEN",,,,
300,N8XPQ,444.800000,+,5.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"N8XPQ near Holland, Ottawa County, Michigan OPEN Connected full-time to WM-CONNECT WiRES-X Room# 21335",,,,
301,N8AHZ,145.130000,-,0.600000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,DN,5.00,,50W,"N8AHZ near Grayling, Crawford County, Michigan OPEN",,,,
302,K8BRC,147.360000,+,0.600000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8BRC near Bangor, Van Buren County, Michigan OPEN Anyone is welcome to join our nets. Club meetings are the second Saturday of each month. See website for more information.",,,,
303,K8OEC,443.575000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"K8OEC near West Olive, Ottawa County, Michigan OPEN c-Bridge partner with DMR-MARC",,,,
304,K8BRC,444.300000,+,5.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,DN,5.00,,50W,"K8BRC near Bangor, Van Buren County, Michigan OPEN",,,,
305,W8CT,444.825000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W8CT near Cadillac, Wexford County, Michigan OPEN",,,,
